token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Empire of Trebizond,Q178913,Empire of Trebizond,Byzantine Greek state on Black Sea coast,,Q178913,Empire of Trebizond,Byzantine Greek state on Black Sea coast,1.0,"{'type': 'label', 'language': 'en', 'text': 'Empire of Trebizond'}",Q3024240,historical country,,,,
Empire of the Caliphs,,,,,,,,0.0,,,,,,,
Empoli,Q6697,Empoli,Italian comune,Empoli,Q108370316;Q125517414;Q14926123;Q2625832;Q29324080;Q30025536;Q3969560;Q48801172;Q6697;Q6703,Empoli;Empoli FC;Empoli Ladies FBC;Empoli railway station;Empolis;Empolis (Pauly-Wissowa);Empoli–Siena–Chiusi railway;Jacopo da Empoli,"Italian comune;Italian painter (1551-1640);Italian professional football club in Empoli,;chief town of the homonym municipality;encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);family name;genus of insects;railway line in Italy;railway station in Italy;women's football club based in Empoli, Tuscany. it was the women's section of Empoli FC",1.0,"{'type': 'label', 'language': 'en', 'text': 'Empoli'}","Q3957,Q747074","commune of Italy,town",,,,
Empoli (Italy,,,,,,,,0.0,,,,,,,
England,Q21,England,"country in north-west Europe, part of the United Kingdom",England;England London UK. Dulwich Picture Gallery;England Premier League,Q11111401;Q1241163;Q1321565;Q179876;Q21;Q2251971;Q378628;Q47762;Q79282;Q9448,Dulwich Picture Gallery;England;England cricket team;England in the Middle Ages;England men's national association football team;England men’s national rugby union team;Kingdom of England;Premier League,"English men's association top football league;Men’s rugby union team representing England;art gallery in Dulwich, South London, United Kingdom;city in Lonoke County, Arkansas, United States;country in north-west Europe, part of the United Kingdom;family name;historic kingdom on the British Isles (927–1649; 1660–1707);historical period of England;men's national association football team representing England;national cricket team",1.0,"{'type': 'label', 'language': 'en', 'text': 'England'}",Q3336843,constituent country of the United Kingdom,,,,
England. Scotland. France. Spain and Portugal. Germany. Italy. Ottoman Empire. The World,,,,,,,,0.0,,,,,,,
Epirus,Q565751,Epirus,historical region of present-day Greece and Albania,Epirus,Q111310426;Q111321318;Q11266977;Q180484;Q1820754;Q19543299;Q2075786;Q21034584;Q565751;Q62021425,Epiros;Epirus;Epirus Football Clubs Association;Epirus Region;Epirus maerens,"Roman province;ancient Greek state and kingdom, located in the geographical region of Epirus;geographic region of Greece;governing body of association football in the greek prefecture of Ioannina;historical region of present-day Greece and Albania;horse;mythical daughter of Echion;one of the 13 regions of Greece;species of weevil;taxon, (Zimmerman, 1994) genus of aedemonini",1.0,"{'type': 'label', 'language': 'en', 'text': 'Epirus'}",Q1620908,historical region,,,,
Epirus-Northwestern Greece,,,,,,,,0.0,,,,,,,
Eritrea,Q986,Eritrea,country in the Horn of Africa,Eritrea;Eritrea (F560);Eritrean calendar;Eritrean nakfa,Q1354899;Q14645015;Q171503;Q21074840;Q215271;Q22107353;Q455131;Q607257;Q723091;Q986,Eritrea;Eritrea Province;Eritrea men's national football team;Eritrean War of Independence;Eritrean men's national road cycling team;Erythrae;Ethiopian calendar;HMS Larne;nakfa,";1937-1966 colonial patrol ship of the Italian and French navies;1943 Algerine-class minesweeper;1961–1991 conflict within Ethiopia;country in the Horn of Africa;currency of Eritrea;men's national association football team representing Eritrea;principal calendar system, mainly used in Ethiopia and Eritrea;province of Ethiopia (1962–1993);ruined city of the Ionian League in present day Izmir, Turkey",1.0,"{'type': 'label', 'language': 'en', 'text': 'Eritrea'}","Q3624078,Q6256","country,sovereign state",,,Q27407,East Africa
Essex and Hertfordshire,,,,,,,,0.0,,,,,,,
Estonia,Q191,Estonia,country in Northern Europe,Estonia,Q11824870;Q130280;Q1370397;Q186914;Q191;Q200060;Q3743725;Q5401432;Q828458;Q9072,Estonia;Estonia men's national football team;Estonian;Estonian National Museum;Estonian National Registry of Cultural Monuments;Estonian Research Portal;Estonian Soviet Socialist Republic;Estonian Wikipedia;MS Estonia,";Estonian heritage register;Estonian-language edition of Wikipedia;Finnic language;constituency of the European Parliament;country in Northern Europe;cruise ferry which sunk on 28 September 1994;men's national association football team representing Estonia;museum in Tartu, Estonia;republic of the Soviet Union (1940–1991)",1.0,"{'type': 'label', 'language': 'en', 'text': 'Estonia'}","Q179164,Q3624078,Q6256,Q63791824,Q7270","country,country bordering the Baltic Sea,republic,sovereign state,unitary state",,,"Q27479,Q39731,Q458,Q8932","Baltic states,European Economic Area,European Union,Northern Europe"
Estul Banatului,,,,,,,,0.0,,,,,,,
Estul Munteniei,,,,,,,,0.0,,,,,,,
Estul Olteniei,,,,,,,,0.0,,,,,,,
Estul Transilvaniei,,,,,,,,0.0,,,,,,,
Eswatini,Q1050,Eswatini,sovereign state in southern Africa,Eswatini COVID-19 pandemic;Eswatini coat of arms;Eswatini flag;Eswatini lilangeni,Q102993;Q1050;Q107364159;Q1193440;Q269818;Q333490;Q3590779;Q4823;Q763090;Q87709973,COVID-19 pandemic in Eswatini;Eswatini;Eswatini Cycling Association;Eswatini Football Association;Eswatini Premier League;Eswatini men's national football team;Eswatini national under-17 football team;coat of arms of Eswatini;flag of Eswatini;lilangeni,association football league;coat of arms;currency of Eswatini;governing body for cycling sport in Eswatini;governing body of association football in Eswatini;men's national association football team representing Eswatini;national association football team;national flag of the Kingdom of Eswatini;sovereign state in southern Africa;viral pandemic in Eswatini,1.0,"{'type': 'label', 'language': 'en', 'text': 'Eswatini'}","Q123480,Q3624078,Q417175,Q6256","country,kingdom,landlocked country,sovereign state",,,Q27394,Southern Africa
Etc/Rome and Italy,,,,,,,,0.0,,,,,,,
Ethiopia,Q115,Ethiopia,country in the Horn of Africa,Ethiopia;Ethiopian Sea,Q115;Q139123;Q1482804;Q15751000;Q207521;Q215271;Q245233;Q26841966;Q3059291;Q410453,1432 Ethiopia;Aethiopia;Ethiopia;Ethiopian Airlines;Ethiopian Empire;Ethiopian Medical Journal;Ethiopian calendar;Ethiopian journal of health sciences;South Atlantic Ocean,"1270–1974 state in the Horn of Africa;ancient name for the greater region of Africa;asteroid;country in the Horn of Africa;flag-carrier airline of Ethiopia;journal;principal calendar system, mainly used in Ethiopia and Eritrea;song with lyrics by Anthony Kiedis performed by Red Hot Chili Peppers;southern area of the Atlantic ocean",1.0,"{'type': 'label', 'language': 'en', 'text': 'Ethiopia'}","Q123480,Q3624078,Q6256","country,landlocked country,sovereign state",,,Q27407,East Africa
Ethiopia and Eritrea,Q103911223,Ethiopia and Eritrea,encyclopedia article,,Q103911223;Q121307024;Q58029663,Ethiopia and Eritrea;Ethiopia and Eritrea: Fratricidal Conflict in the Horn,encyclopedia article;scholarly article by Richard Cornwell published January 1998 in African Security Review;scientific article published in 2000,1.0,"{'type': 'label', 'language': 'en', 'text': 'Ethiopia and Eritrea'}",Q13433827,encyclopedia article,,,,
Etruria,Q206730,Etruria,region of Central Italy,Etruria,Q113993006;Q115861331;Q119153437;Q1442288;Q206730;Q2915922;Q35726;Q5404898;Q5842219;Q60733250,Etruria;Etruria (Pauly-Wissowa);Etruria railway station;Etruria to Kidsgrove Loop;Etruscan;Regio VII Etruria,"ancient Mediterranean language;encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);former train station in Stoke-on-Trent, Staffordshire, England, UK;human settlement in Córdoba, Argentina;painting by E. J. B. Evans (active 1900–1920), The Potteries Museum & Art Gallery;region of Augustan Italy;region of Central Italy;section of railway line in the UK;suburb of Stoke-on-Trent, Staffordshire, England;train station in Argentina",1.0,"{'type': 'label', 'language': 'en', 'text': 'Etruria'}",Q4835091,territory,,,,
Etrurien,Q206730,Etruria,region of Central Italy,Etrurien,Q10489350;Q206730,Etruria;Etrurien,Wikimedia disambiguation page;region of Central Italy,0.95,"{'type': 'label', 'language': 'sv', 'text': 'Etrurien'}",Q4835091,territory,,,,
Euphrates,Q34589,Euphrates,river in Asia,Euphrates;Euphrates River Watershed,Q107998950;Q115200032;Q115200045;Q115200050;Q1374164;Q17748667;Q24064236;Q34589;Q60950192;Q761431,13963 Euphrates;Eufrat Mai;Euphrates;Euphrates 2 (Pauly-Wissowa);Euphrates 3 (Pauly-Wissowa);Euphrates 4 (Pauly-Wissowa);Persian Gulf Basin,Czech pornographic actress;asteroid;bishop of Köln;drainage basin in Asia;encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);feature on Mars;river god of the Euphrates river;river in Asia,1.0,"{'type': 'label', 'language': 'en', 'text': 'Euphrates'}",Q4022,river,,,,
Eurasia,Q5401,Eurasia,continental landmass comprising Europe and Asia,Eurasian Beaver;Eurasian Black Vulture;Eurasian Blackbird;Eurasian aspen;Eurasian elk;Eurasian perch;Eurasian wild pig,Q146110;Q166812;Q168677;Q181191;Q25234;Q27066;Q29995;Q35517;Q5401;Q58697,Alces alces;Castor fiber;Cinereous Vulture;Common Blackbird;Eurasia;Eurasian Badger;Eurasian otter;European perch;Populus tremula;Sus scrofa,continental landmass comprising Europe and Asia;omnivore species of mammal;species of beaver;species of bird;species of carnivorans;species of mammal;species of otter;species of perch found in Europe;species of plant;species of thrush,1.0,"{'type': 'label', 'language': 'en', 'text': 'Eurasia'}",Q55833,supercontinent,Q82794,region,Q27527,Afro-Eurasia
Eurasia and Africa,,,,,,,,0.0,,,,,,,
Europe,Q46,Europe,continent in the Northern Hemisphere,European opera,Q1344;Q185144;Q198697;Q374924;Q458;Q46;Q5412157;Q868940;Q899286;Q899591,Europe;Europe PubMed Central;European Journal of Inorganic Chemistry;European Journal of Organic Chemistry;European Nature Information System;European Union;European University Association;opera,;1983 debut studio album by Europe;Swedish rock band;artform combining sung text and musical score in a theatrical setting;association and interest group of universities in Europe;continent in the Northern Hemisphere;database of biomedical research;journal;peer-reviewed scientific journal;political and economic union of 27 European states,1.0,"{'type': 'label', 'language': 'en', 'text': 'Europe'}","Q2418896,Q5107","continent,part of the world",,,"Q2,Q2035462,Q27527,Q5401","Afro-Eurasia,Earth,Eurasia,Ostfeste"
Europe and Eurasia,Q137014489,Europe and Eurasia,scientific article published on 11 April 2023,,Q137014489,Europe and Eurasia,scientific article published on 11 April 2023,1.0,"{'type': 'label', 'language': 'en', 'text': 'Europe and Eurasia'}",,,,,,
Faroe Islands,Q4628,Faroe Islands,North Atlantic archipelago organized as an autonomous constituent country of the Kingdom of Denmark,Faroe Islands residents;Faroe Islands sports,Q200688;Q223179;Q22683263;Q268628;Q4628;Q5436085;Q579341;Q620771;Q739479;Q899180,Faroe Islands;Faroe Islands Cup;Faroe Islands Football Association;Faroe Islands Premier League;Faroe Islands men's national football team;Faroe Islands national under-19 football team;Faroe Islands national under-21 football team;Faroe Islands women's national football team;Faroese;sports in the Faroe Islands,North Atlantic archipelago organized as an autonomous constituent country of the Kingdom of Denmark;association football governing body in the Faroe Islands;association football league;men's national association football team representing the Faroe Islands;men's national association football tournament in the Faroe Islands;national association football team;overview of sports activities in the Faroe Islands;people from or residents of the Faroe Islands;women's national association football team representing the Faroe Islands,1.0,"{'type': 'label', 'language': 'en', 'text': 'Faroe Islands'}","Q192611,Q66724388","autonomous country within the Kingdom of Denmark,electoral unit",,,"Q1191549,Q27479,Q756617","Kingdom of Denmark,Northern Europe,the unity of the Realm"
Fars,Q2616211,Fars,"river in Adygea and Krasnodar Krai, Russia",Farsi;Farsi Wikipedia;Fârs,Q1004666;Q1938776;Q22362;Q2325495;Q2616211;Q3746183;Q48952;Q490462;Q5436415;Q9168,Fars;Fars Province;Farsan;Farschviller;Farsetia;Farshid;Farsund Municipality;Persian;Persian Wikipedia;Persis,"Persian-language edition of Wikipedia;Western Iranian language;city in Chaharmahal and Bakhtiari Province, Iran;commune in Moselle, France;genus of plants;historical region corresponding to modern Fars province, Iran;male given name;municipality in Agder, Norway;province of Iran;river in Adygea and Krasnodar Krai, Russia",1.0,"{'type': 'label', 'language': 'en', 'text': 'Fars'}",Q4022,river,,,,
Fertile Crescent,Q170526,Fertile Crescent,"crescent-shaped geographic region of the Middle-East, containing the moist and fertile land of Western Asia, and the Nile Valley and Nile Delta of northeast Africa",,Q112841548;Q170526;Q5445575,Fertile Crescent;Fertile Crescent Plan;Fertile Crescent crop progenitors gained a competitive advantage from large seedlings,"crescent-shaped geographic region of the Middle-East, containing the moist and fertile land of Western Asia, and the Nile Valley and Nile Delta of northeast Africa;proposed state;scientific article published on 05 March 2021",1.0,"{'type': 'label', 'language': 'en', 'text': 'Fertile Crescent'}",Q82794,region,,,Q7204,Middle East
Finland,Q33,Finland,country in Northern Europe,Finland;Finland Proper;Finland Swedes;Finlands Nationalgalleri;Finlands Socialdemokratiska Parti,Q135499866;Q186532;Q2983474;Q33;Q499029;Q5450446;Q5712;Q62633;Q726673;Q823040,Finland;Finland men's national football team;Finland men's national ice hockey team;Finnish National Gallery;Grand Duchy of Finland;Social Democratic Party of Finland;Southwest Finland;Swedish-speaking population of Finland,1992 studio album by David Shutrick;constituency of the European Parliament;country in Northern Europe;ethnic group of people born in Finland speaking Swedish as their first language;men's national association football team representing Finland;men's national ice hockey team representing Finland;organization of three museums that make up the largest art museum institution of Finland;predecessor state of modern Finland;region of Finland;registered political party in Finland,1.0,"{'type': 'label', 'language': 'en', 'text': 'Finland'}","Q179164,Q3624078,Q6256,Q63791824","country,country bordering the Baltic Sea,sovereign state,unitary state",,,"Q27479,Q458,Q52062,Q604496,Q8932","European Economic Area,European Union,Fennoscandia,Nordic countries,Northern Europe"
